,CellID,ClusterID,ClusterName,Region,Total_molecules,Valid,X,Y,_tSNE_1,_tSNE_2,size_pix,size_um2
0,778,18,Inhibitory CP,Layer 6,390,1,18171.230942376023,24590.795274569497,-58.13238525390625,5.219181060791016,60911.0,257.348975
2,3642,18,Inhibitory CP,Layer 4,405,1,11247.433714967248,36626.892415142735,-61.572853088378906,-1.1853644847869873,44143.0,186.504175
5,769,18,Inhibitory CP,Layer 4,491,1,18374.295795684622,26286.856653908053,-66.86224365234375,-1.7665001153945923,41014.0,173.28415000000004
7,5870,18,Inhibitory CP,Layer 4,518,1,4197.789280405199,39465.355902861425,-59.923431396484375,-3.7398080825805664,42376.0,179.03860000000003
9,5682,18,Inhibitory CP,Layer 2-3 medial,210,1,3757.866348635427,46281.16716625502,-64.76947021484375,5.166342735290527,23922.0,101.07045000000001
14,6337,18,Inhibitory CP,Layer 6,579,1,2693.9894975972857,32856.08734031724,-66.43923950195312,1.662643313407898,54234.0,229.13865000000004
16,2071,18,Inhibitory CP,Layer 4,270,1,13784.117810718757,32426.464495340504,-58.97451400756836,-3.382448196411133,28200.0,119.14500000000001
20,6195,18,Inhibitory CP,Layer 5,182,1,1359.3573354355976,36330.04199613441,-62.19692611694336,4.263618469238281,25192.0,106.4362
21,4907,18,Inhibitory CP,Layer 5,316,1,8659.30343832749,35851.49695359675,-60.68256378173828,-2.5718908309936523,30899.0,130.54827500000002
22,4094,18,Inhibitory CP,Layer 6,371,1,10190.950828971316,30338.135563057884,-65.27849578857422,-1.5774139165878296,40062.0,169.26195
23,2244,18,Inhibitory CP,Layer 6,26,1,14032.214333044563,28694.63297244546,-36.909324645996094,10.284284591674805,2741.0,11.580725
24,5036,18,Inhibitory CP,Layer 5,387,1,5298.8437701028415,36870.72607154248,-60.20520782470703,-0.6090396642684937,62803.0,265.342675
26,2209,18,Inhibitory CP,Layer 5,229,1,14993.788503228572,30330.202748206444,-75.90306854248047,-0.7980395555496216,20659.0,87.284275
27,4690,18,Inhibitory CP,Layer 2-3 medial,178,1,8909.124888260572,43113.53701733019,-60.503108978271484,2.4191834926605225,23437.0,99.02132500000003
29,5719,18,Inhibitory CP,Layer 2-3 medial,78,1,2858.6071512788403,44533.29734928449,-62.83784103393555,8.216538429260254,7801.0,32.95922500000001
31,6435,18,Inhibitory CP,Layer 6,393,1,693.237882698144,35159.14154193256,-35.84719467163086,11.109227180480957,41048.0,173.42780000000002
32,6046,18,Inhibitory CP,Layer 5,334,1,5280.604288083548,36870.19409888162,-60.25593948364258,-0.6142634153366089,54624.0,230.78640000000004
33,645,18,Inhibitory CP,Layer 4,405,1,19085.965041319534,27355.823257625238,-68.91304016113281,-2.836963415145874,63632.0,268.84520000000003
34,3427,18,Inhibitory CP,Layer 2-3 medial,316,1,11204.079232412103,40474.38448700474,-65.57809448242188,0.16477705538272858,38593.0,163.05542499999999
37,3959,18,Inhibitory CP,Layer 6,162,1,12959.75143770786,28200.172632452945,-59.80588912963867,5.305624485015869,34775.0,146.92437500000003
39,5867,18,Inhibitory CP,Layer 2-3 medial,353,1,4284.538576425151,41108.643887168786,-64.51951599121094,0.13493074476718903,36160.0,152.776
40,1845,18,Inhibitory CP,Layer 3-4,306,1,13987.632856018337,36954.24462253178,-60.99378204345703,2.5356736183166504,42981.0,181.59472500000004
41,5754,18,Inhibitory CP,Layer 2-3 medial,329,1,2276.5806861045603,45376.191231480996,-69.35445404052734,-3.121276378631592,48533.0,205.051925
45,4980,18,Inhibitory CP,Layer 4,99,1,6898.498494238938,37144.870405853886,-59.05329132080078,3.0001413822174072,12911.0,54.548975000000006
46,2311,18,Inhibitory CP,Layer 6,408,1,12681.794643823807,29283.869620303005,-35.526283264160156,10.6918363571167,44753.0,189.08142500000002
47,765,18,Inhibitory CP,Layer 6,286,1,18527.743132676496,24763.674487676035,-56.103267669677734,12.310956954956055,28343.0,119.74917500000002
49,4568,18,Inhibitory CP,Layer 2-3 medial,404,1,7699.199741346194,43542.002028288516,-52.42961883544922,-2.538928985595703,27679.0,116.94377499999999
50,3901,18,Inhibitory CP,Layer 6,243,1,9629.835844447553,32022.14192596361,-36.67692947387695,11.55555534362793,30077.0,127.07532499999998
55,3477,18,Inhibitory CP,Layer 2-3 medial,162,1,9921.757824344597,41871.006999085934,-53.054290771484375,-1.627558946609497,20138.0,85.08305
56,170,18,Inhibitory CP,Layer 2-3 lateral,391,1,17883.450491730327,39286.3062062824,-51.502262115478516,-3.1256747245788574,39105.0,165.21862500000003
57,2157,18,Inhibitory CP,Layer 5,276,1,16436.380573904265,28542.064784909435,-69.11849212646484,-1.3798774480819702,32609.0,137.77302500000002
58,1806,18,Inhibitory CP,Layer 2-3 lateral,272,1,14537.885733518015,37777.105645344316,-63.553123474121094,5.669600963592529,41850.0,176.81625
59,4609,18,Inhibitory CP,Layer 2-3 medial,138,1,6437.620727050868,45215.0970499768,-51.55490493774414,1.0776060819625854,17966.0,75.90634999999999
60,3758,18,Inhibitory CP,Layer 5,273,1,8667.989660517496,35860.99645922921,-60.2782096862793,-2.632249116897583,28748.0,121.46030000000002
61,2083,18,Inhibitory CP,Layer 4,143,1,13592.799171095969,32650.368753777104,-62.18455123901367,-5.033331394195557,13650.0,57.67125
62,687,18,Inhibitory CP,Layer 4,328,1,17911.665642630505,29505.960319131744,-59.89675521850586,6.314283847808838,34264.0,144.76540000000003
63,2293,18,Inhibitory CP,Layer 6,162,1,12959.75143770786,28200.172632452945,-59.805885314941406,5.305624961853027,34775.0,146.92437500000003
65,6196,18,Inhibitory CP,Layer 5,282,1,1355.3733469339822,36097.73092743143,-68.05060577392578,-0.4458012580871582,31764.0,134.2029
67,6157,18,Inhibitory CP,Layer 4,324,1,2342.539154579037,38931.160663599105,-69.02445220947266,-0.8007005453109741,32228.0,136.1633
68,3313,18,Inhibitory CP,Pia Layer 1,425,1,10716.99065268558,43654.13152610373,-51.76075744628906,-0.7647345066070557,43286.0,182.88335000000004
69,5692,18,Inhibitory CP,Layer 2-3 medial,348,1,3518.929180396037,45751.39693157534,-70.15115356445312,-2.1031882762908936,45929.0,194.050025
70,5724,18,Inhibitory CP,Layer 2-3 medial,498,1,2783.4178435156427,46250.799495789775,-64.75121307373047,2.380423069000244,53988.0,228.09930000000003
72,4725,18,Inhibitory CP,Layer 2-3 medial,634,1,8009.143657694865,40652.22849119147,-77.33279418945312,-0.308031290769577,41640.0,175.92900000000003
75,3881,18,Inhibitory CP,Layer 6,267,1,10241.322259723156,30568.660719579246,-37.85956954956055,11.574986457824707,32317.0,136.539325
76,205,18,Inhibitory CP,Layer 2-3 lateral,302,1,20575.79687226806,36862.570172993575,-51.77960968017578,-1.38370680809021,44802.0,189.28845000000004
77,6302,18,Inhibitory CP,Layer 6,382,1,3551.9489743872145,33796.72431691714,-57.91971206665039,6.648677349090576,49526.0,209.24734999999998
78,5048,18,Inhibitory CP,Layer 4,395,1,5002.108516307326,38313.704236472615,-61.64640808105469,-3.421875238418579,51034.0,215.61865
79,5413,18,Inhibitory CP,Layer 6,267,1,5950.14005271731,30493.279089472853,-51.20647048950195,16.716754913330078,29533.0,124.77692500000003
80,5857,18,Inhibitory CP,Layer 2-3 medial,118,1,4503.3534065194,40929.594967435034,-66.25468444824219,7.3940863609313965,8618.0,36.41105
83,768,18,Inhibitory CP,Layer 6,498,1,18452.83559186019,24291.796921980662,-37.316322326660156,11.511524200439453,52220.0,220.6295
84,767,18,Inhibitory CP,Layer 6,297,1,18386.683453429076,24722.69000142645,-62.680973052978516,-1.5128629207611084,30973.0,130.860925
85,3307,18,Inhibitory CP,Pia Layer 1,300,1,11851.830448696614,43454.39057414311,-50.83864212036133,-3.314089059829712,23802.0,100.56344999999999
86,7328,18,Inhibitory CP,Layer 5,249,1,1335.5299002498614,36207.460584304776,-67.3827896118164,0.4048064053058624,42753.0,180.631425
87,164,18,Inhibitory CP,Layer 2-3 lateral,155,1,18996.975718598587,38691.63350960723,-52.04903793334961,-0.1877068281173706,21708.0,91.71629999999999
91,7350,18,Inhibitory CP,Layer 5,300,1,713.274068343424,36019.1140106391,-65.09649658203125,1.19737708568573,29799.0,125.90077500000001
92,5740,18,Inhibitory CP,Layer 2-3 medial,469,1,2430.1939255757425,45660.765790457415,-49.120426177978516,43.23380661010742,46778.0,197.63705000000002
96,6218,18,Inhibitory CP,Layer 5,300,1,713.274068343424,36019.1140106391,-65.09649658203125,1.19737708568573,29799.0,125.90077500000001
97,2174,18,Inhibitory CP,Layer 5,253,1,15936.39630218398,28541.919553722266,-60.49369430541992,6.0993170738220215,31821.0,134.443725
98,6015,18,Inhibitory CP,Layer 4,117,1,1359.5039039227486,40071.071126458184,-57.99942398071289,1.7175341844558716,18538.0,78.32304999999998
101,4672,18,Inhibitory CP,Layer 2-3 medial,242,1,9280.056981086902,42805.49689617524,-61.859375,3.9134654998779297,47379.0,200.17627500000003
102,6058,18,Inhibitory CP,Layer 4,395,1,5002.108516307326,38313.704236472615,-61.64640808105469,-3.421855926513672,51034.0,215.61865
103,5185,18,Inhibitory CP,Layer 6,183,1,6893.0499753776385,31963.343464045087,-60.23471450805664,3.7327489852905273,11111.0,46.94397500000001
105,6254,18,Inhibitory CP,Layer 6,405,1,4592.151251875315,34199.65299541925,-36.52780532836914,11.604290962219238,42152.0,178.0922
106,5219,18,Inhibitory CP,Layer 6,580,1,6057.637137927177,32693.977452895204,-58.04082489013672,-0.41480618715286255,57190.0,241.62775000000002
107,4990,18,Inhibitory CP,Layer 5,230,1,6721.871456880923,36074.1076720721,-67.91863250732422,-1.3953315019607544,21770.0,91.97825
108,3560,18,Inhibitory CP,Layer 2-3 medial,178,1,12942.833717520998,38886.10797162801,-59.37601089477539,-1.586363434791565,26064.0,110.1204
111,3759,18,Inhibitory CP,Layer 5,312,1,13252.63731390649,31563.875938161258,-71.2196044921875,1.9664514064788818,28993.0,122.49542500000001
112,6174,18,Inhibitory CP,Layer 5,491,1,1876.4566229365737,36775.74766668662,-70.19091033935547,-0.3333672285079956,41057.0,173.46582500000002
114,6189,18,Inhibitory CP,Layer 5,206,1,1496.2668476310755,37761.932201517666,-58.06418228149414,1.8808441162109375,47098.0,198.98905
117,7382,18,Inhibitory CP,Layer 5,192,1,33.126083123388526,35980.398853448925,-64.4341049194336,1.9396802186965942,25251.0,106.68547500000001
